Wall time,Relative time (s),Step,Value,Norm value
1584995745,0,67,2.735539675,1
1584995753,8,182,2.109342813,0.771088364
1584995761,16,287,2.017565489,0.737538376
1584995768,23,390,1.989994168,0.727459443
1584995773,28,498,1.811324239,0.662145117
1584995779,34,606,1.860477209,0.680113407
1584995784,39,713,1.687085032,0.616728409
1584995790,45,821,1.569191337,0.573631357
1584995796,51,929,1.70524478,0.623366861
1584995802,57,1035,1.731530905,0.632975979
1584995807,62,1142,1.674612403,0.612168933
1584995813,68,1250,1.532445908,0.560198751
1584995818,73,1356,1.562622547,0.57123008
1584995824,79,1459,1.597855091,0.584109639
1584995829,84,1565,1.351522207,0.494060539
1584995835,90,1674,1.479740858,0.540931967
1584995841,96,1781,1.523417115,0.556898198
1584995846,101,1889,1.206846118,0.441172954
1584995852,107,1997,1.355147481,0.495385789
1584995859,114,2101,1.312192202,0.479683119
1584995864,119,2205,1.164726615,0.425775808
1584995870,125,2311,1.200634956,0.43890241
1584995875,130,2417,1.160163999,0.424107904
1584995881,136,2524,1.403187037,0.512947061
1584995887,142,2632,1.181227684,0.431807915
1584995892,147,2738,1.033942342,0.377966495
1584995898,153,2844,1.164162159,0.425569466
1584995903,158,2950,1.272637129,0.465223422
1584995909,164,3054,1.08271122,0.395794377
1584995914,169,3158,1.049833536,0.383775657
1584995920,175,3264,1.050199747,0.383909529
1584995925,180,3370,0.878964663,0.321313074
1584995931,186,3474,1.077312589,0.393820861
1584995936,191,3579,0.877736032,0.320863938
1584995942,197,3687,0.691024899,0.252610081
1584995948,203,3794,0.712478757,0.260452723
1584995953,208,3899,0.811773419,0.296750739
1584995959,214,4006,0.68158567,0.24915949
1584995966,221,4113,0.778346896,0.284531386
1584995971,226,4219,0.812359929,0.296965142
1584995977,232,4325,0.563829303,0.20611264
1584995982,237,4433,0.767955959,0.28073289
1584995988,243,4541,0.859279633,0.314117043
1584995994,249,4647,0.814294517,0.297672348
1584995999,254,4755,0.573660254,0.209706428
1584996005,260,4862,0.833739996,0.304780809
1584996011,266,4969,0.526691318,0.192536531
1584996016,271,5073,0.64204669,0.234705677
1584996021,276,5178,0.560840786,0.205020162
1584996027,282,5287,0.625037074,0.228487665
1584996033,288,5396,0.68230021,0.249420696
1584996038,293,5504,0.63579011,0.23241853
1584996044,299,5612,0.594062686,0.217164712
1584996050,305,5720,0.626636028,0.229072177
1584996055,310,5829,0.433114082,0.158328569
1584996061,316,5936,0.488244057,0.178481804
1584996080,335,6228,0.533398628,0.194988445
1584996085,340,6336,0.506793797,0.185262821
1584996091,346,6442,0.47925669,0.175196395
1584996097,352,6548,0.39250952,0.143485223
1584996102,357,6655,0.481623292,0.176061527
1584996108,363,6763,0.625880361,0.228795936
1584996113,368,6871,0.616405725,0.225332402
1584996119,374,6980,0.568019629,0.207644449
1584996125,380,7087,0.401452571,0.146754432
1584996130,385,7192,0.467558503,0.170920023
1584996136,391,7300,0.491320252,0.179606334
1584996141,396,7408,0.447211444,0.163481981
1584996147,402,7517,0.248574734,0.090868627
1584996153,408,7624,0.491808027,0.179784644
1584996158,413,7733,0.511034846,0.186813173
1584996164,419,7841,0.319874346,0.116932812
1584996170,425,7948,0.450178504,0.164566615
1584996179,434,8110,0.303356588,0.110894604
1584996185,440,8216,0.377417028,0.137968033
1584996190,445,8322,0.454801738,0.166256678
1584996196,451,8430,0.412465572,0.150780329
1584996202,457,8538,0.373419404,0.136506667
1584996207,462,8645,0.458223999,0.167507715
1584996213,468,8753,0.223665029,0.08176267
1584996218,473,8860,0.436695009,0.159637608
1584996224,479,8967,0.420364469,0.153667839
1584996230,485,9075,0.353841126,0.12934966
1584996235,490,9183,0.351415873,0.128463088
1584996241,496,9291,0.2693097,0.098448472
1584996246,501,9400,0.377563268,0.138021492
1584996252,507,9508,0.275066733,0.100553004
1584996257,512,9613,0.328772783,0.120185712
1584996263,518,9718,0.390486509,0.142745694
1584996268,523,9826,0.358245879,0.130959855
1584996274,529,9934,0.4856731,0.177541969
1584996284,539,10106,0.307550728,0.112427808
1584996290,545,10214,0.361494869,0.132147551
1584996295,550,10322,0.270254552,0.09879387
1584996301,556,10429,0.295473218,0.10801277
1584996307,562,10536,0.314547956,0.114985704
1584996312,567,10644,0.381155342,0.139334606
1584996318,573,10752,0.344036549,0.125765512
1584996323,578,10859,0.291499287,0.106560066
1584996329,584,10967,0.310613364,0.11354738
1584996335,590,11073,0.258632481,0.094545323
1584996340,595,11179,0.428554624,0.15666182
1584996346,601,11284,0.388144493,0.14188955
1584996351,606,11390,0.430810928,0.157486631
1584996357,612,11497,0.251498729,0.091937518
1584996362,617,11605,0.317804724,0.116176244
1584996368,623,11712,0.364696503,0.133317936
1584996373,628,11817,0.256091714,0.093616523
1584996379,634,11924,0.247318387,0.090409358
1584996391,646,12118,0.394441307,0.144191404
1584996396,651,12225,0.366358638,0.133925544
1584996402,657,12332,0.212031379,0.07750989
1584996407,662,12441,0.17458111,0.063819623
1584996413,668,12549,0.271825582,0.099368174
1584996419,674,12656,0.330393195,0.120778067
1584996424,679,12762,0.305199772,0.111568395
1584996430,685,12870,0.348240107,0.127302159
1584996435,690,12977,0.273923486,0.100135081
1584996441,696,13082,0.271882892,0.099389124
1584996446,701,13189,0.333274066,0.121831194
1584996452,707,13297,0.264268428,0.096605591
1584996458,713,13405,0.295474052,0.108013075
1584996463,718,13512,0.23996225,0.087720259
1584996469,724,13621,0.315678984,0.115399161
1584996475,730,13728,0.367411077,0.134310272
1584996480,735,13836,0.17555818,0.064176799
1584996486,741,13944,0.119904697,0.043832191
1584996496,751,14111,0.243164986,0.088891047
1584996501,756,14219,0.299924403,0.109639939
1584996507,762,14325,0.2770634,0.101282903
1584996512,767,14432,0.383721054,0.140272524
1584996518,773,14540,0.283773333,0.103735777
1584996524,779,14648,0.208870277,0.076354322
1584996529,784,14757,0.368157685,0.134583201
1584996535,790,14863,0.196683109,0.071899198
1584996540,795,14967,0.309013844,0.112962662
1584996546,801,15071,0.388289392,0.141942519
1584996551,806,15177,0.246157348,0.089984931
1584996557,812,15283,0.305665374,0.1117386
1584996563,818,15390,0.174930096,0.063947198
1584996568,823,15498,0.334866047,0.122413157
1584996574,829,15606,0.401259989,0.146684032
1584996580,835,15715,0.268566966,0.098176959
1584996585,840,15821,0.289747477,0.105919676
1584996591,846,15929,0.2125507,0.077699732
1584996601,856,16104,0.234070629,0.085566527
1584996607,862,16212,0.267088979,0.097636668
1584996612,867,16320,0.303034157,0.110776736
1584996618,873,16428,0.322549433,0.117910713
1584996623,878,16534,0.30981341,0.11325495
1584996629,884,16640,0.181901246,0.066495561
1584996635,890,16746,0.325758636,0.119083865
1584996640,895,16852,0.244093329,0.089230411
