Wall time,Relative time (s),Step,Value
1585593088,0,135,6.237725258
1585593095,7,257,2.247658014
1585593101,13,364,2.048569202
1585593108,20,470,2.008640289
1585593114,26,578,1.960616589
1585593120,32,683,1.946018696
1585593126,38,789,1.886720896
1585593132,44,897,1.938860774
1585593138,50,1004,1.759860873
1585593145,57,1113,1.773174763
1585593151,63,1222,1.765221119
1585593157,69,1330,1.740766764
1585593163,75,1436,1.86665225
1585593169,81,1544,1.828796148
1585593175,87,1651,1.790592909
1585593182,94,1758,1.696828246
1585593188,100,1866,1.753881812
1585593194,106,1972,1.669061184
1585593204,116,2109,1.708765388
1585593210,122,2215,1.612270951
1585593216,128,2322,1.631813407
1585593222,134,2428,1.498236775
1585593228,140,2536,1.495673418
1585593234,146,2642,1.587111473
1585593240,152,2748,1.533294559
1585593246,158,2855,1.602244616
1585593252,164,2963,1.531025648
1585593258,170,3068,1.683651209
1585593264,176,3175,1.541244507
1585593271,183,3282,1.42606926
1585593277,189,3389,1.321941614
1585593283,195,3496,1.445875287
1585593289,201,3602,1.262016058
1585593295,207,3710,1.712696314
1585593301,213,3817,1.479358196
1585593307,219,3923,1.350317955
1585593320,232,4116,1.17372489
1585593326,238,4223,1.29866004
1585593332,244,4330,1.167661786
1585593339,251,4436,1.377634645
1585593345,257,4542,1.168090105
1585593351,263,4649,1.315549493
1585593357,269,4757,1.376551151
1585593363,275,4863,1.090908051
1585593369,281,4969,0.945160687
1585593375,287,5076,1.058292985
1585593381,293,5185,1.04449749
1585593388,300,5292,1.031042814
1585593394,306,5400,0.908714652
1585593400,312,5506,1.124302387
1585593406,318,5612,0.97192812
1585593412,324,5719,1.052108884
1585593418,330,5827,0.880408645
1585593424,336,5933,1.015613198
1585593436,348,6111,0.890895247
1585593442,354,6220,0.805628538
1585593449,361,6326,0.785563886
1585593455,367,6434,1.007435441
1585593461,373,6541,0.911396623
1585593467,379,6648,0.717236519
1585593473,385,6756,0.818066657
1585593479,391,6863,0.568111777
1585593485,397,6970,0.608841121
1585593491,403,7077,0.750788867
1585593498,410,7184,0.651574612
1585593504,416,7292,0.707027078
1585593510,422,7399,0.588042855
1585593516,428,7503,0.512828529
1585593522,434,7607,0.544823885
1585593528,440,7715,0.691899598
1585593534,446,7822,0.532719851
1585593540,452,7929,0.601501644
1585593553,465,8118,0.656880975
1585593559,471,8225,0.546553016
1585593565,477,8333,0.59586072
1585593571,483,8441,0.397894681
1585593577,489,8548,0.667466879
1585593583,495,8656,0.32802707
1585593589,501,8763,0.497672558
1585593596,508,8870,0.59902072
1585593602,514,8976,0.428360701
1585593608,520,9082,0.523871064
1585593614,526,9190,0.59659797
1585593620,532,9298,0.509362817
1585593626,538,9404,0.52296567
1585593632,544,9512,0.581632316
1585593638,550,9619,0.671997547
1585593644,556,9726,0.691310763
1585593650,562,9832,0.637245417
1585593656,568,9939,0.584775269
1585593668,580,10117,0.475660801
1585593675,587,10225,0.431902349
1585593681,593,10333,0.302052736
1585593687,599,10440,0.409906596
1585593693,605,10548,0.282919854
1585593699,611,10656,0.387912333
1585593705,617,10764,0.422735035
1585593711,623,10870,0.257209301
1585593717,629,10977,0.581277847
1585593724,636,11084,0.382295877
1585593730,642,11191,0.32887584
1585593736,648,11297,0.343431443
1585593742,654,11404,0.33960855
1585593748,660,11512,0.281340599
1585593754,666,11619,0.424036711
1585593760,672,11725,0.306436837
1585593766,678,11834,0.311794519
1585593772,684,11941,0.352831423
1585593785,697,12128,0.210867882
1585593791,703,12235,0.37452507
1585593797,709,12340,0.320758373
1585593803,715,12447,0.405567408
1585593809,721,12554,0.345853686
1585593815,727,12660,0.262629986
1585593821,733,12767,0.361177146
1585593827,739,12875,0.329110324
1585593833,745,12982,0.23850058
1585593840,752,13088,0.29386878
1585593846,758,13194,0.290255964
1585593852,764,13301,0.244043097
1585593858,770,13408,0.273778528
1585593864,776,13516,0.266981721
1585593870,782,13623,0.288943172
1585593876,788,13730,0.428868115
1585593882,794,13837,0.32616365
1585593888,800,13944,0.369879037
1585593901,813,14127,0.246776193
1585593907,819,14234,0.25631234
1585593913,825,14342,0.255291134
1585593919,831,14448,0.375486553
1585593925,837,14557,0.384052813
1585593931,843,14663,0.327283651
1585593937,849,14769,0.299055219
1585593944,856,14877,0.317022145
1585593950,862,14983,0.315678269
1585593956,868,15090,0.428820878
1585593962,874,15197,0.30919531
1585593968,880,15304,0.266308606
1585593974,886,15411,0.237979949
1585593980,892,15516,0.363664299
1585593986,898,15624,0.25320971
1585593992,904,15730,0.284279585
1585593998,910,15834,0.30499357
1585594005,917,15942,0.218979165
1585594018,930,16142,0.249215573
1585594024,936,16247,0.182718605
1585594030,942,16354,0.351632357
1585594036,948,16459,0.231559426
1585594042,954,16565,0.359460384
1585594048,960,16669,0.220418349
1585594054,966,16777,0.30071795
1585594060,972,16881,0.158094183
1585594066,978,16988,0.288858145
1585594073,985,17096,0.264696062
1585594079,991,17203,0.414397001
1585594085,997,17310,0.361802042
1585594091,1003,17418,0.207832158
1585594097,1009,17525,0.297904074
1585594103,1015,17634,0.175370157
1585594109,1021,17740,0.116412677
1585594116,1028,17847,0.187088385
1585594122,1034,17952,0.220961481
1585594135,1047,18145,0.193042964
1585594141,1053,18252,0.241516829
1585594147,1059,18359,0.200789541
1585594153,1065,18466,0.251881123
1585594159,1071,18572,0.23971045
1585594165,1077,18679,0.367556959
1585594172,1084,18786,0.156970635
1585594178,1090,18892,0.165972382
1585594184,1096,18999,0.377645999
1585594190,1102,19105,0.366039932
1585594196,1108,19212,0.349874675
1585594202,1114,19319,0.217777625
1585594209,1121,19427,0.11570888
1585594215,1127,19532,0.141305983
1585594221,1133,19641,0.27732119
1585594227,1139,19748,0.235947549
1585594233,1145,19855,0.274923205
1585594240,1152,19962,0.318265557
1585594252,1164,20141,0.106844649
1585594258,1170,20247,0.218126729
1585594264,1176,20353,0.137164801
1585594270,1182,20460,0.063349865
1585594276,1188,20566,0.150933996
1585594282,1194,20672,0.176698014
1585594288,1200,20780,0.186187133
1585594294,1206,20887,0.173913583
1585594301,1213,20994,0.252209187
1585594307,1219,21103,0.238190025
1585594313,1225,21211,0.124429122
1585594319,1231,21319,0.207594439
1585594325,1237,21425,0.16983299
1585594331,1243,21533,0.164098114
1585594338,1250,21641,0.128645033
1585594344,1256,21749,0.127008989
1585594350,1262,21856,0.199465036
1585594356,1268,21964,0.064692058
1585594368,1280,22139,0.254626155
1585594374,1286,22248,0.113345936
1585594380,1292,22356,0.142188475
1585594387,1299,22465,0.079568639
1585594393,1305,22573,0.155020088
1585594399,1311,22680,0.163218394
1585594405,1317,22787,0.216314703
1585594411,1323,22893,0.194871932
1585594417,1329,23000,0.210419208
1585594424,1336,23107,0.120426103
1585594430,1342,23215,0.226932347
1585594436,1348,23322,0.171361238
1585594442,1354,23428,0.260921597
1585594448,1360,23533,0.131444857
1585594454,1366,23641,0.26139605
1585594460,1372,23747,0.139874101
1585594466,1378,23854,0.12519373
1585594472,1384,23961,0.152473658
1585594485,1397,24151,0.168591559
1585594491,1403,24256,0.213242635
1585594497,1409,24364,0.342578113
1585594503,1415,24470,0.11268729
1585594509,1421,24576,0.075989939
1585594515,1427,24681,0.115603872
1585594521,1433,24787,0.109959215
1585594527,1439,24893,0.070164353
1585594534,1446,25000,0.16398491
1585594540,1452,25108,0.180581212
1585594546,1458,25217,0.176604971
1585594552,1464,25325,0.194567442
1585594558,1470,25434,0.185395613
1585594565,1477,25541,0.220437527
1585594571,1483,25648,0.315228403
1585594577,1489,25753,0.225250334
1585594583,1495,25858,0.078938209
1585594589,1501,25966,0.106715515
1585594601,1513,26152,0.170038879
1585594607,1519,26259,0.107620932
1585594614,1526,26366,0.08476419
1585594620,1532,26472,0.105094582
1585594626,1538,26578,0.15487887
1585594632,1544,26686,0.131406456
1585594638,1550,26794,0.188650712
1585594645,1557,26903,0.227171898
1585594651,1563,27008,0.173944905
1585594656,1568,27112,0.153419927
1585594662,1574,27217,0.159337312
1585594669,1581,27325,0.124514297
1585594675,1587,27433,0.303881496
1585594681,1593,27539,0.216049254
1585594687,1599,27647,0.203557014
1585594693,1605,27753,0.082196757
1585594699,1611,27860,0.122281328
1585594705,1617,27965,0.08905106
1585594718,1630,28154,0.074021786
1585594724,1636,28259,0.241631374
1585594730,1642,28367,0.160346463
1585594736,1648,28474,0.147390097
1585594742,1654,28581,0.162809134
1585594748,1660,28687,0.103982389
1585594754,1666,28793,0.143391088
1585594761,1673,28900,0.150495455
1585594767,1679,29006,0.182668522
1585594773,1685,29113,0.203438357
1585594779,1691,29219,0.114942998
1585594785,1697,29327,0.171574444
1585594791,1703,29433,0.131521136
1585594797,1709,29540,0.104099773
1585594803,1715,29648,0.146827996
1585594809,1721,29755,0.080802076
1585594815,1727,29862,0.049712516
1585594822,1734,29969,0.088391759
1585594834,1746,30156,0.120552279
1585594840,1752,30263,0.119991288
1585594847,1759,30372,0.217618793
1585594853,1765,30479,0.070310466
1585594859,1771,30586,0.169633538
1585594865,1777,30691,0.0822137
1585594871,1783,30797,0.30080992
1585594877,1789,30906,0.182658747
1585594883,1795,31013,0.125386894
1585594889,1801,31119,0.293765008
1585594895,1807,31226,0.133045748
1585594902,1814,31333,0.154665247
1585594908,1820,31440,0.118287943
1585594914,1826,31547,0.106586821
1585594920,1832,31653,0.211429417
1585594926,1838,31759,0.12080314
1585594932,1844,31864,0.120000802
1585594938,1850,31971,0.150276423
1585594951,1863,32162,0.036471151
1585594957,1869,32269,0.03148431
1585594963,1875,32376,0.054416444
1585594970,1882,32482,0.072210193
1585594976,1888,32590,0.045858074
1585594982,1894,32694,0.045988061
1585594988,1900,32802,0.011042379
1585594994,1906,32908,0.004346633
1585595000,1912,33015,0.03403943
1585595006,1918,33123,0.021633666
1585595012,1924,33230,0.017481752
1585595019,1931,33338,0.030617842
1585595025,1937,33445,0.016769828
1585595031,1943,33551,0.006847803
1585595037,1949,33657,0.025417618
1585595043,1955,33763,0.023459371
1585595049,1961,33870,0.078950673
1585595055,1967,33976,0.024086112
1585595068,1980,34158,0.019902203
1585595074,1986,34263,0.009698886
1585595080,1992,34370,0.008881349
1585595086,1998,34476,0.014046854
1585595092,2004,34584,0.008281485
1585595098,2010,34692,0.022853559
1585595104,2016,34798,0.004572626
1585595111,2023,34905,0.045195345
1585595117,2029,35011,0.039647751
1585595123,2035,35119,0.029668305
1585595129,2041,35224,0.010863566
1585595135,2047,35329,0.021015812
1585595141,2053,35436,0.020995701
1585595147,2059,35542,0.010852418
1585595153,2065,35647,0.005939738
1585595159,2071,35753,0.016594276
1585595165,2077,35861,0.00591819
1585595172,2084,35966,0.008243524
1585595185,2097,36163,0.008434834
1585595191,2103,36271,0.01114389
1585595197,2109,36378,0.003237155
1585595203,2115,36485,0.00795081
1585595209,2121,36589,0.03802355
1585595215,2127,36697,0.008013805
1585595221,2133,36805,0.006254931
1585595227,2139,36913,0.00723321
1585595233,2145,37020,0.009186374
1585595239,2151,37125,0.02166871
1585595245,2157,37233,0.010629833
1585595252,2164,37339,0.006773069
1585595257,2169,37442,0.003356072
1585595263,2175,37547,0.026178557
1585595269,2181,37653,0.000663684
1585595276,2188,37762,0.00446331
1585595282,2194,37869,0.038900483
1585595288,2200,37976,0.001699488
1585595301,2213,38169,0.015578565
1585595307,2219,38276,0.020657765
1585595313,2225,38383,0.012754573
1585595319,2231,38490,0.019944126
1585595325,2237,38597,0.006968934
1585595331,2243,38705,0.017121654
1585595337,2249,38814,0.002022913
1585595344,2256,38921,0.000438804
1585595350,2262,39026,0.016565446
1585595356,2268,39130,0.006566781
1585595362,2274,39236,0.005550418
1585595368,2280,39344,0.008975059
1585595374,2286,39451,0.008912964
1585595380,2292,39557,0.020680644
1585595386,2298,39663,0.008919375
1585595392,2304,39768,0.008696904
1585595398,2310,39874,0.009743372
1585595404,2316,39981,0.004955567
