Wall time,Relative time (s),Step,Value
1585589560,0,0,0.101599999
1585589630,70,2007,0.326700002
1585589760,200,4011,0.422199994
1585589890,330,6012,0.591600001
1585590019,459,8017,0.648100019
1585590150,590,10017,0.693799973
1585590280,720,12022,0.737600029
1585590410,850,14022,0.770399988
1585590540,980,16027,0.808399975
1585590670,1110,18029,0.798399985
1585590800,1240,20035,0.842899978
1585590930,1370,22037,0.84920001
1585591060,1500,24043,0.834299982
1585591190,1630,26045,0.853100002
1585591320,1760,28049,0.828199983
1585591450,1890,30055,0.851000011
1585591580,2020,32059,0.897199988
1585591711,2151,34063,0.907400012
1585591842,2282,36075,0.906300008
1585591972,2412,38071,0.908399999
1585592103,2543,40006,0.910000026
