Wall time,Step,Time,Value
1603237190.11,0,0.0,0.0998999997973
1603237500.95,250,310.836329937,0.390100002289
1603237751.88,400,561.762443781,0.557399988174
1603237882.53,2417,692.417042971,0.502499997616
1603237952.89,4422,762.780945778,0.60900002718
1603237962.93,6438,772.813504696,0.592100024223
1603238033.13,8601,843.017769814,0.628899991512
1603238103.41,10451,913.296690702,0.693899989128
1603238113.44,12556,923.325767756,0.767899990082
1603238183.79,14471,993.672181845,0.800999999046
1603238253.94,18483,1063.82702374,0.81970000267
1603238324.38,20493,1134.26836896,0.814499974251
1603238394.74,22501,1204.62785196,0.818000018597
1603238405.13,24515,1215.01186275,0.839699983597
1603238475.6,26525,1285.48262882,0.790700018406
1603238545.68,30546,1355.56280279,0.903999984264
1603238616.72,32560,1426.6105628,0.904100000858
1603238687.08,34663,1496.96523166,0.902800023556
1603238697.32,36573,1507.20926476,0.903100013733
1603238767.59,38582,1577.47922683,0.900600016117
1603238837.83,40612,1647.71850872,0.903199970722
1603238848.06,42671,1657.95080781,0.90189999342
1603238918.55,44652,1728.44005489,0.903100013733
1603238988.76,48631,1798.64611983,0.902100026608
1603239059.38,50702,1869.26397681,0.902700006962
1603239129.58,54662,1939.46821475,0.902800023556
1603239200.1,56668,2009.98415995,0.902899980545
1603239270.58,58708,2080.47031879,0.902300000191
1603239280.63,60807,2090.51912069,0.901199996471
1603239289.99,61213,2099.87175775,0.903500020504
