Wall time,Relative time (s),Step,Value,Norm value
1587032474,0,1,3.671886444,1
1587032549,75,101,3.388804913,0.922905696
1587032616,142,201,1.865262985,0.507984934
1587032683,209,301,1.68984437,0.460211501
1587032750,276,401,1.490641117,0.405960572
1587032817,343,501,1.292228103,0.351924854
1587032885,411,601,1.155483484,0.314683882
1587032952,478,701,0.973911047,0.265234523
1587033020,546,801,0.694577932,0.18916106
1587033087,613,901,0.487661898,0.132809636
1587033164,690,1001,0.441449195,0.120224088
1587033232,758,1101,0.320876122,0.087387267
1587033299,825,1201,0.249257401,0.067882655
1587033367,893,1301,0.221115217,0.060218425
1587033434,960,1401,0.191199973,0.052071319
1587033501,1027,1501,0.1502195,0.040910715
1587033569,1095,1601,0.140613019,0.03829449
1587033636,1162,1701,0.107415125,0.029253388
1587033704,1230,1801,0.110854991,0.030190201
1587033771,1297,1901,0.087660566,0.023873443
1587033851,1377,2001,0.107718647,0.029336052
1587033919,1445,2101,0.090529814,0.02465485
1587033987,1513,2201,0.067853101,0.018479085
1587034054,1580,2301,0.075859919,0.020659659
1587034121,1647,2401,0.081301853,0.022141711
1587034189,1715,2501,0.066660449,0.018154279
1587034257,1783,2601,0.056782089,0.01546401
1587034324,1850,2701,0.054168481,0.014752221
1587034392,1918,2801,0.061903,0.016858637
1587034459,1985,2901,0.053863365,0.014669127
1587034538,2064,3001,0.058863096,0.016030752
1587034606,2132,3101,0.049640529,0.013519081
1587034673,2199,3201,0.051444024,0.014010243
1587034740,2266,3301,0.064110331,0.01745978
1587034808,2334,3401,0.054889884,0.014948687
1587034875,2401,3501,0.0406502,0.011070658
1587034943,2469,3601,0.04820111,0.01312707
1587035010,2536,3701,0.045272022,0.012329363
1587035078,2604,3801,0.064469859,0.017557694
1587035145,2671,3901,0.042777244,0.011649935
1587035224,2750,4001,0.041865461,0.011401622
1587035292,2818,4101,0.049763557,0.013552587
1587035359,2885,4201,0.030758779,0.008376833
1587035426,2952,4301,0.035197329,0.009585626
1587035494,3020,4401,0.052858062,0.014395342
1587035561,3087,4501,0.05593339,0.015232876
1587035629,3155,4601,0.040900629,0.01113886
1587035696,3222,4701,0.061192621,0.016665172
1587035764,3290,4801,0.044780396,0.012195475
1587035831,3357,4901,0.049975187,0.013610222
1587035909,3435,5001,0.041064497,0.011183489
1587035977,3503,5101,0.041114334,0.011197059
1587036044,3570,5201,0.042936578,0.01169333
1587036111,3637,5301,0.03802716,0.010356301
1587036179,3705,5401,0.037242312,0.010142555
1587036246,3772,5501,0.046518326,0.012668782
1587036314,3840,5601,0.038541481,0.01049637
1587036381,3907,5701,0.032330722,0.008804935
1587036449,3975,5801,0.031277049,0.008517979
1587036516,4042,5901,0.029334653,0.007988986
1587036597,4123,6001,0.045486715,0.012387831
1587036664,4190,6101,0.041205332,0.011221842
1587036732,4258,6201,0.043733209,0.011910284
1587036799,4325,6301,0.044790424,0.012198204
1587036867,4393,6401,0.032708347,0.008907778
1587036934,4460,6501,0.050516464,0.013757631
1587037002,4528,6601,0.040360019,0.010991631
1587037069,4595,6701,0.040741555,0.011095539
1587037136,4662,6801,0.031014033,0.008446348
1587037204,4730,6901,0.037530895,0.010221149
1587037283,4809,7001,0.04051549,0.011033971
1587037351,4877,7101,0.043033276,0.011719665
1587037419,4945,7201,0.042458504,0.01156313
1587037486,5012,7301,0.035744987,0.009734775
1587037553,5079,7401,0.022145407,0.006031072
1587037621,5147,7501,0.039848257,0.010852258
1587037688,5214,7601,0.023372944,0.006365377
1587037756,5282,7701,0.029759526,0.008104698
1587037824,5350,7801,0.034994602,0.009530415
1587037891,5417,7901,0.048046269,0.013084901
1587037968,5494,8001,0.040603645,0.011057981
1587038036,5562,8101,0.024405215,0.006646505
1587038103,5629,8201,0.03766723,0.010258277
1587038170,5696,8301,0.027842507,0.007582617
1587038238,5764,8401,0.023167137,0.006309329
1587038305,5831,8501,0.033350371,0.009082626
1587038373,5899,8601,0.023752602,0.006468773
1587038440,5966,8701,0.02725694,0.007423144
1587038507,6033,8801,0.023437362,0.006382921
1587038575,6101,8901,0.02914477,0.007937274
1587038655,6181,9001,0.029164303,0.007942593
1587038723,6249,9101,0.026918966,0.007331101
1587038790,6316,9201,0.030923404,0.008421666
1587038857,6383,9301,0.029704697,0.008089765
1587038925,6451,9401,0.023405243,0.006374173
1587038992,6518,9501,0.024978802,0.006802716
1587039060,6586,9601,0.023474474,0.006393027
1587039127,6653,9701,0.026210301,0.007138102
1587039195,6721,9801,0.044100344,0.012010268
1587039262,6788,9901,0.033359848,0.009085207
1587039343,6869,10001,0.030865658,0.008405941
1587039410,6936,10101,0.033756509,0.009193234
1587039478,7004,10201,0.031952072,0.008701813
1587039545,7071,10301,0.027587257,0.007513103
1587039613,7139,10401,0.029368302,0.00799815
1587039680,7206,10501,0.043235093,0.011774626
1587039748,7274,10601,0.031048285,0.008455675
1587039815,7341,10701,0.026556486,0.007232383
1587039883,7409,10801,0.027193932,0.007405983
1587039950,7476,10901,0.021850567,0.005950775
1587040030,7556,11001,0.025621932,0.006977866
1587040097,7623,11101,0.027479291,0.007483698
1587040165,7691,11201,0.032824259,0.008939345
1587040232,7758,11301,0.035539985,0.009678943
1587040300,7826,11401,0.029903423,0.008143885
1587040367,7893,11501,0.023085739,0.006287161
1587040434,7960,11601,0.032748282,0.008918653
1587040501,8027,11701,0.024056341,0.006551493
1587040569,8095,11801,0.022952503,0.006250874
1587040636,8162,11901,0.019015366,0.005178638
1587040716,8242,12001,0.033425339,0.009103043
1587040784,8310,12101,0.032487206,0.008847553
1587040851,8377,12201,0.027269414,0.00742654
1587040918,8444,12301,0.027959174,0.007614389
1587040986,8512,12401,0.028336314,0.007717099
1587041054,8580,12501,0.025416676,0.006921968
1587041121,8647,12601,0.026785394,0.007294722
1587041189,8715,12701,0.029557202,0.008049595
1587041256,8782,12801,0.022951029,0.006250474
1587041324,8850,12901,0.022473589,0.006120448
1587041401,8927,13001,0.024874847,0.006774406
1587041468,8994,13101,0.027989808,0.007622733
1587041536,9062,13201,0.035574976,0.009688475
1587041603,9129,13301,0.022718325,0.0061871
1587041671,9197,13401,0.033455104,0.009111148
1587041738,9264,13501,0.025837004,0.007036438
1587041805,9331,13601,0.039594922,0.010783264
1587041872,9398,13701,0.030753013,0.008375262
1587041940,9466,13801,0.024223693,0.006597069
1587042007,9533,13901,0.024218537,0.006595667
1587042085,9611,14001,0.022765946,0.006200069
1587042152,9678,14101,0.03234902,0.008809918
1587042220,9746,14201,0.027050342,0.007366878
1587042287,9813,14301,0.026584012,0.007239878
1587042355,9881,14401,0.026914515,0.007329886
1587042422,9948,14501,0.021339985,0.005811721
1587042490,10016,14601,0.022314198,0.00607704
1587042557,10083,14701,0.025308313,0.006892454
1587042624,10150,14801,0.022193944,0.006044288
1587042691,10217,14901,0.02746395,0.007479521
1587042770,10296,15001,0.02300117,0.006264129
