Wall time,Relative time (s),Step,Value
1587063268,0,0,0.100000001
1587064066,798,1000,0.839299977
1587064805,1537,2000,0.881600022
1587065544,2276,3000,0.888100028
1587066282,3014,4000,0.885699987
1587067020,3752,5000,0.87650001
1587067699,4431,6000,0.897400022
1587068434,5166,7000,0.890600026
1587069233,5965,8000,0.892700016
1587069972,6704,9000,0.894500017
1587070711,7443,10000,0.903599977
1587071450,8182,11000,0.902400017
1587072190,8922,12000,0.904600024
1587072929,9661,13000,0.899299979
1587073668,10400,14000,0.902199984
1587074407,11139,15000,0.909099996
1587075086,11818,16000,0.909200013
1587075825,12557,17000,0.90079999
1587076565,13297,18000,0.90200001
1587077303,14035,19000,0.910300016
1587078041,14773,20000,0.909699976
1587078780,15512,21000,0.905799985
1587079519,16251,22000,0.904299974
1587080257,16989,23000,0.916100025
1587080995,17727,24000,0.907100022
1587081735,18467,25000,0.907199979
1587082473,19205,26000,0.911599994
1587083213,19945,27000,0.914099991
1587083952,20684,28000,0.915099978
1587084691,21423,29000,0.916800022
1587085430,22162,30000,0.920000017
1587086169,22901,31000,0.91049999
1587086909,23641,32000,0.906499982
1587087648,24380,33000,0.909300029
1587088388,25120,34000,0.919399977
