Wall time,Relative time (s),Step,Value,Norm value
1587063245,0,1,3.325285435,1
1587063326,81,101,2.081995964,0.626110451
1587063398,153,201,1.504666805,0.452492528
1587063471,226,301,1.166046858,0.350660683
1587063543,298,401,0.982592404,0.295491145
1587063615,370,501,0.729183078,0.219284358
1587063689,444,601,0.531924844,0.159963664
1587063762,517,701,0.426534772,0.128270123
1587063835,590,801,0.334289521,0.100529572
1587063909,664,901,0.244695082,0.073586188
1587063999,754,1001,0.234056354,0.070386845
1587064071,826,1101,0.193642899,0.058233467
1587064143,898,1201,0.137822181,0.041446722
1587064214,969,1301,0.141549468,0.042567615
1587064286,1041,1401,0.078440368,0.023589064
1587064358,1113,1501,0.087576516,0.026336542
1587064431,1186,1601,0.083003595,0.024961346
1587064504,1259,1701,0.07816425,0.023506027
1587064576,1331,1801,0.064553857,0.019413028
1587064649,1404,1901,0.067576915,0.020322141
1587064731,1486,2001,0.056145035,0.016884274
1587064804,1559,2101,0.049064245,0.014754899
1587064877,1632,2201,0.059836943,0.017994527
1587064948,1703,2301,0.05119453,0.01539553
1587065021,1776,2401,0.058995344,0.017741436
1587065094,1849,2501,0.055328317,0.016638668
1587065168,1923,2601,0.060581859,0.018218544
1587065242,1997,2701,0.055666439,0.016740349
1587065314,2069,2801,0.058508955,0.017595166
1587065388,2143,2901,0.057902291,0.017412728
1587065471,2226,3001,0.034857631,0.010482598
1587065546,2301,3101,0.035318092,0.01062107
1587065618,2373,3201,0.052006502,0.01563971
1587065691,2446,3301,0.042249314,0.012705469
1587065765,2520,3401,0.047647268,0.014328776
1587065838,2593,3501,0.048738293,0.014656874
1587065912,2667,3601,0.050322525,0.015133296
1587065984,2739,3701,0.028893506,0.008689032
1587066057,2812,3801,0.046602216,0.014014502
1587066129,2884,3901,0.038977444,0.011721532
1587066212,2967,4001,0.047426477,0.014262379
1587066284,3039,4101,0.04818245,0.014489719
1587066357,3112,4201,0.034104653,0.010256157
1587066430,3185,4301,0.031392001,0.009440393
1587066502,3257,4401,0.042403109,0.01275172
1587066574,3329,4501,0.036713332,0.011040655
1587066646,3401,4601,0.032791138,0.00986115
1587066718,3473,4701,0.03383816,0.010176017
1587066791,3546,4801,0.036534224,0.010986792
1587066864,3619,4901,0.030516412,0.00917708
1587066948,3703,5001,0.048127428,0.014473173
1587067021,3776,5101,0.037267085,0.011207185
1587067093,3848,5201,0.04079131,0.01226701
1587067165,3920,5301,0.031842574,0.009575891
1587067237,3992,5401,0.030773697,0.009254454
1587067308,4063,5501,0.036857195,0.011083921
1587067380,4135,5601,0.02591707,0.007793938
1587067451,4206,5701,0.026701437,0.008029819
1587067525,4280,5801,0.048484843,0.014580655
1587067598,4353,5901,0.034624178,0.010412393
1587067682,4437,6001,0.023280041,0.007000915
1587067756,4511,6101,0.02942954,0.00885023
1587067829,4584,6201,0.035415284,0.010650298
1587067903,4658,6301,0.034584254,0.010400385
1587067977,4732,6401,0.023880661,0.007181537
1587068050,4805,6501,0.037000101,0.011126894
1587068122,4877,6601,0.029857703,0.008978989
1587068194,4949,6701,0.033718929,0.010140161
1587068267,5022,6801,0.048021998,0.014441467
1587068339,5094,6901,0.034960799,0.010513624
1587068424,5179,7001,0.044531986,0.01339193
1587068503,5258,7101,0.020398796,0.006134451
1587068577,5332,7201,0.050330311,0.015135636
1587068649,5404,7301,0.031458031,0.00946025
1587068721,5476,7401,0.029745573,0.008945268
1587068794,5549,7501,0.033667751,0.01012477
1587068868,5623,7601,0.0343372,0.010326091
1587068942,5697,7701,0.030361434,0.009130473
1587069016,5771,7801,0.025042936,0.007531065
1587069090,5845,7901,0.033102568,0.009954806
1587069176,5931,8001,0.025027327,0.00752637
1587069249,6004,8101,0.02475608,0.007444799
1587069322,6077,8201,0.031944647,0.009606589
1587069395,6150,8301,0.026533816,0.007979411
1587069467,6222,8401,0.020236371,0.006085604
1587069538,6293,8501,0.0243674,0.007327912
1587069612,6367,8601,0.024224512,0.007284942
1587069684,6439,8701,0.022938067,0.006898076
1587069756,6511,8801,0.344608545,0.103632773
1587069829,6584,8901,0.054341987,0.016342053
1587069913,6668,9001,0.031672295,0.009524686
1587069986,6741,9101,0.041807212,0.012572518
1587070062,6817,9201,0.021046275,0.006329165
1587070137,6892,9301,0.024441523,0.007350202
1587070212,6967,9401,0.032525569,0.009781287
1587070286,7041,9501,0.029397974,0.008840736
1587070360,7115,9601,0.028058669,0.008437973
1587070434,7189,9701,0.031756841,0.00955011
1587070507,7262,9801,0.022561042,0.006784693
1587070581,7336,9901,0.025610615,0.007701778
1587070665,7420,10001,0.020197848,0.00607402
1587070736,7491,10101,0.021951137,0.00660128
1587070808,7563,10201,0.019015476,0.00571845
1587070879,7634,10301,0.018092006,0.005440739
1587070951,7706,10401,0.026380016,0.00793316
1587071024,7779,10501,0.023460319,0.00705513
1587071097,7852,10601,0.029397909,0.008840718
1587071171,7926,10701,0.029922251,0.0089984
1587071243,7998,10801,0.028395198,0.008539177
1587071317,8072,10901,0.022271782,0.006697705
1587071401,8156,11001,0.019804612,0.005955762
1587071474,8229,11101,0.024185058,0.007273078
1587071547,8302,11201,0.025972616,0.007810644
1587071619,8374,11301,0.031626541,0.009510925
1587071691,8446,11401,0.031160289,0.009370711
1587071763,8518,11501,0.028894532,0.008689338
1587071835,8590,11601,0.023995575,0.007216093
1587071909,8664,11701,0.022925271,0.006894226
1587071982,8737,11801,0.023895964,0.007186138
1587072054,8809,11901,0.031629682,0.009511869
1587072138,8893,12001,0.026138993,0.007860676
1587072210,8965,12101,0.022470295,0.006757405
1587072282,9037,12201,0.029817972,0.008967041
1587072352,9107,12301,0.020946188,0.006299065
1587072424,9179,12401,0.036036924,0.010837241
1587072498,9253,12501,0.025711387,0.007732085
1587072571,9326,12601,0.039560933,0.011897003
1587072642,9397,12701,0.028801637,0.008661404
1587072714,9469,12801,0.018340001,0.005515316
1587072787,9542,12901,0.026841216,0.008071854
1587072870,9625,13001,0.017050738,0.005127602
1587072942,9697,13101,0.037291888,0.011214643
1587073015,9770,13201,0.023900868,0.007187615
1587073087,9842,13301,0.026641931,0.008011923
1587073159,9914,13401,0.018046141,0.005426945
1587073232,9987,13501,0.029725149,0.008939127
1587073304,10059,13601,0.030469673,0.009163024
1587073377,10132,13701,0.02600918,0.007821638
1587073450,10205,13801,0.030455526,0.009158772
1587073522,10277,13901,0.018752422,0.005639341
1587073607,10362,14001,0.023092002,0.006944366
1587073679,10434,14101,0.023757737,0.007144572
1587073750,10505,14201,0.03260212,0.009804307
1587073823,10578,14301,0.028074505,0.008442734
1587073895,10650,14401,0.022747613,0.006840799
1587073967,10722,14501,0.026709015,0.008032095
1587074039,10794,14601,0.035910763,0.010799302
1587074112,10867,14701,0.019968256,0.006004976
1587074185,10940,14801,0.023099607,0.006946655
1587074257,11012,14901,0.031343546,0.009425822
1587074343,11098,15001,0.019683775,0.005919423
1587074414,11169,15101,0.022681948,0.006821054
1587074487,11242,15201,0.026755396,0.008046046
1587074559,11314,15301,0.015989594,0.004808486
1587074631,11386,15401,0.025047805,0.007532529
1587074702,11457,15501,0.018249555,0.005488115
1587074775,11530,15601,0.032946989,0.009908019
1587074846,11601,15701,0.030012617,0.009025577
1587074916,11671,15801,0.028994113,0.008719285
1587074987,11742,15901,0.018857615,0.005670978
1587075070,11825,16001,0.022361558,0.006724704
1587075142,11897,16101,0.018310416,0.005506421
1587075214,11969,16201,0.022423489,0.006743328
1587075287,12042,16301,0.032257281,0.009700605
1587075360,12115,16401,0.0274533,0.008255923
1587075433,12188,16501,0.019338949,0.005815726
1587075504,12259,16601,0.031969845,0.009614167
1587075577,12332,16701,0.029767703,0.008951923
1587075650,12405,16801,0.017638486,0.005304354
1587075722,12477,16901,0.021674601,0.006518117
1587075804,12559,17001,0.030316684,0.009117016
1587075878,12633,17101,0.018293422,0.005501308
1587075950,12705,17201,0.025613345,0.007702602
1587076022,12777,17301,0.032896813,0.009892928
1587076093,12848,17401,0.024352726,0.007323501
1587076166,12921,17501,0.023802012,0.007157885
1587076238,12993,17601,0.022687864,0.006822831
1587076312,13067,17701,0.029908275,0.008994199
1587076385,13140,17801,0.026740126,0.008041454
1587076457,13212,17901,0.028550724,0.008585946
1587076546,13301,18001,0.029413858,0.008845514
1587076620,13375,18101,0.026175469,0.007871646
1587076692,13447,18201,0.027777541,0.00835343
1587076765,13520,18301,0.028843433,0.008673971
1587076838,13593,18401,0.019997174,0.00601367
1587076910,13665,18501,0.024201384,0.007277986
1587076984,13739,18601,0.020345883,0.006118536
1587077056,13811,18701,0.019613203,0.0058982
1587077128,13883,18801,0.025195599,0.007576974
1587077201,13956,18901,0.022072185,0.00663768
1587077285,14040,19001,0.020300053,0.006104754
1587077357,14112,19101,0.019376403,0.005826989
1587077429,14184,19201,0.015518247,0.004666742
1587077502,14257,19301,0.024087079,0.007243613
1587077575,14330,19401,0.02827966,0.008504431
1587077647,14402,19501,0.034057088,0.010241855
1587077721,14476,19601,0.026206832,0.007881077
1587077793,14548,19701,0.0201273,0.006052804
1587077865,14620,19801,0.016830759,0.005061448
1587077937,14692,19901,0.021629905,0.006504678
1587078020,14775,20001,0.020792264,0.006252775
1587078093,14848,20101,0.022324814,0.006713652
1587078166,14921,20201,0.020614207,0.00619923
1587078240,14995,20301,0.021715326,0.006530366
1587078312,15067,20401,0.024856478,0.007474991
1587078385,15140,20501,0.039093949,0.01175657
1587078458,15213,20601,0.02124612,0.006389262
1587078531,15286,20701,0.01756851,0.005283309
1587078603,15358,20801,0.029688589,0.008928133
1587078675,15430,20901,0.025935654,0.007799526
1587078757,15512,21001,0.026790805,0.008056695
1587078829,15584,21101,0.019655295,0.005910858
1587078901,15656,21201,0.03265832,0.009821208
1587078973,15728,21301,0.017173946,0.005164654
1587079046,15801,21401,0.017836237,0.005363822
1587079119,15874,21501,0.016209805,0.004874712
1587079191,15946,21601,0.018522922,0.005570325
1587079263,16018,21701,0.01268683,0.00381526
1587079335,16090,21801,0.014744939,0.004434188
1587079407,16162,21901,0.022072081,0.00663765
1587079490,16245,22001,0.019065527,0.005733502
