Wall time,Relative time (s),Step,Value
1586960170,0,0,0.100000001
1586960849,679,1000,0.812699974
1586961528,1358,2000,0.87440002
1586962207,2037,3000,0.870199978
1586962887,2717,4000,0.885800004
1586963566,3396,5000,0.88499999
1586964246,4076,6000,0.896799982
1586964925,4755,7000,0.888000011
1586965604,5434,8000,0.8829
1586966283,6113,9000,0.892099977
1586966963,6793,10000,0.895799994
1586967642,7472,11000,0.900099993
1586968321,8151,12000,0.909200013
1586969001,8831,13000,0.91049999
1586969680,9510,14000,0.897899985
1586970359,10189,15000,0.891799986
1586971038,10868,16000,0.903900027
1586971717,11547,17000,0.910700023
1586972397,12227,18000,0.916599989
1586973076,12906,19000,0.915899992
1586973755,13585,20000,0.911599994
1586974435,14265,21000,0.909200013
1586975114,14944,22000,0.916100025
1586975793,15623,23000,0.910000026
1586976473,16303,24000,0.916400015
1586977152,16982,25000,0.915300012
1586977832,17662,26000,0.919799984
1586978451,18281,27000,0.915499985
1586979130,18960,28000,0.918799996
1586979809,19639,29000,0.916800022
1586980488,20318,30000,0.911800027
1586981167,20997,31000,0.9102
1586981846,21676,32000,0.912999988
1586982526,22356,33000,0.917900026
1586983205,23035,34000,0.917100012
1586983884,23714,35000,0.9199
1586984564,24394,36000,0.915199995
1586985243,25073,37000,0.91839999
1586985923,25753,38000,0.916100025
1586986602,26432,39000,0.913800001
1586987274,27104,40000,0.912299991
