Wall time,Relative time (s),Step,Value
1586960170,0,0,0.100000001
1586960849,679,1000,0.812699974
1586961528,1358,2000,0.87440002
1586962207,2037,3000,0.870199978
1586962887,2717,4000,0.885800004
1586963566,3396,5000,0.88499999
1586964246,4076,6000,0.896799982
1586964925,4755,7000,0.888000011
1586965604,5434,8000,0.8829
1586966283,6113,9000,0.892099977
1586966963,6793,10000,0.895799994
1586967642,7472,11000,0.900099993
1586968321,8151,12000,0.909200013
1586969001,8831,13000,0.91049999
1586969680,9510,14000,0.897899985
1586970359,10189,15000,0.891799986
1586971038,10868,16000,0.903900027
1586971717,11547,17000,0.910700023
1586972397,12227,18000,0.916599989
