Wall time,Relative time (s),Step,Value
1586813275,0,0,0.092100002
1586813955,680,1000,0.744499981
1586814635,1360,2000,0.814400017
1586815314,2039,3000,0.828499973
1586815993,2718,4000,0.846800029
1586816672,3397,5000,0.850899994
1586817353,4078,6000,0.848800004
1586818032,4757,7000,0.851300001
1586818711,5436,8000,0.858399987
1586819390,6115,9000,0.856100023
1586820069,6794,10000,0.85799998
1586820688,7413,11000,0.856599987
1586821368,8093,12000,0.858900011
1586822047,8772,13000,0.860400021
1586822726,9451,14000,0.864400029
1586823406,10131,15000,0.86619997
1586824086,10811,16000,0.864499986
1586824766,11491,17000,0.863499999
1586825446,12171,18000,0.870599985
1586826125,12850,19000,0.873399973
1586826805,13530,20000,0.871999979
1586827484,14209,21000,0.871299982
1586828163,14888,22000,0.875400007
1586828842,15567,23000,0.87650001
1586829521,16246,24000,0.876600027
1586830201,16926,25000,0.868399978
1586830881,17606,26000,0.879599988
1586831500,18225,27000,0.877600014
1586832180,18905,28000,0.879599988
1586832859,19584,29000,0.880999982
1586833538,20263,30000,0.880599976
1586834218,20943,31000,0.881500006
1586834897,21622,32000,0.883700013
1586835577,22302,33000,0.899900019
1586836257,22982,34000,0.90109998
