Wall time,Relative time (s),Step,Value,Norm value
1586813241,0,1,3.869208336,1
1586813314,73,101,2.676594734,0.691768056
1586813381,140,201,2.054510117,0.530989789
1586813447,206,301,1.80237627,0.465825593
1586813514,273,401,1.598962069,0.41325303
1586813580,339,501,1.367323875,0.353385954
1586813647,406,601,1.160109043,0.299831112
1586813713,472,701,0.991027653,0.256131891
1586813780,539,801,0.74829793,0.1933982
1586813846,605,901,0.641109586,0.165695288
1586813921,680,1001,0.565910816,0.146260106
1586813987,746,1101,0.499065816,0.128983962
1586814054,813,1201,0.445939869,0.115253517
1586814120,879,1301,0.366591632,0.094745901
1586814188,947,1401,0.347989738,0.089938228
1586814254,1013,1501,0.297677159,0.076934901
1586814321,1080,1601,0.241028398,0.062293983
1586814388,1147,1701,0.237255603,0.0613189
1586814455,1214,1801,0.239595786,0.061923724
1586814522,1281,1901,0.169048443,0.043690705
1586814595,1354,2001,0.146420658,0.037842537
1586814663,1422,2101,0.142723262,0.036886941
1586814730,1489,2201,0.153445482,0.039658107
1586814796,1555,2301,0.115374476,0.029818627
1586814863,1622,2401,0.097690672,0.025248232
1586814930,1689,2501,0.10313911,0.026656386
1586814997,1756,2601,0.077859193,0.02012277
1586815063,1822,2701,0.080771253,0.020875394
1586815129,1888,2801,0.093861535,0.02425859
1586815196,1955,2901,0.073212147,0.018921739
1586815270,2029,3001,0.056477398,0.014596629
1586815336,2095,3101,0.053313624,0.013778948
1586815403,2162,3201,0.070590377,0.01824414
1586815469,2228,3301,0.057933211,0.014972885
1586815536,2295,3401,0.049658358,0.012834243
1586815603,2362,3501,0.046995293,0.01214597
1586815669,2428,3601,0.089998558,0.0232602
1586815736,2495,3701,0.036061995,0.00932025
1586815803,2562,3801,0.047560677,0.012292096
1586815869,2628,3901,0.044682033,0.011548107
1586815945,2704,4001,0.040062428,0.010354167
1586816012,2771,4101,0.039703168,0.010261316
1586816078,2837,4201,0.041247614,0.010660478
1586816145,2904,4301,0.0383007,0.009898847
1586816212,2971,4401,0.026304299,0.006798367
1586816278,3037,4501,0.049807668,0.012872832
1586816345,3104,4601,0.03674145,0.009495857
1586816411,3170,4701,0.02530661,0.006540514
1586816478,3237,4801,0.035568211,0.009192632
1586816544,3303,4901,0.024080537,0.006223635
1586816619,3378,5001,0.027119687,0.007009106
1586816686,3445,5101,0.020306451,0.005248218
1586816752,3511,5201,0.019537784,0.005049555
1586816819,3578,5301,0.023857955,0.006166106
1586816886,3645,5401,0.021207666,0.005481139
1586816952,3711,5501,0.029792525,0.007699901
1586817019,3778,5601,0.022943445,0.00592975
1586817085,3844,5701,0.029159289,0.007536242
1586817152,3911,5801,0.020215154,0.005224622
1586817219,3978,5901,0.028191997,0.007286245
1586817292,4051,6001,0.024067663,0.006220306
1586817359,4118,6101,0.013556596,0.003503714
1586817426,4185,6201,0.0156436,0.004043101
1586817492,4251,6301,0.021604637,0.005583737
1586817559,4318,6401,0.025255624,0.006527335
1586817625,4384,6501,0.024377402,0.006300359
1586817692,4451,6601,0.017127069,0.004426505
1586817759,4518,6701,0.016060468,0.004150841
1586817826,4585,6801,0.014912005,0.003854018
1586817892,4651,6901,0.017498191,0.004522421
1586817966,4725,7001,0.021842653,0.00564525
1586818033,4792,7101,0.019520916,0.005045197
1586818100,4859,7201,0.01689487,0.004366493
1586818167,4926,7301,0.018344805,0.004741228
1586818234,4993,7401,0.019161675,0.004952352
1586818300,5059,7501,0.021313515,0.005508494
1586818367,5126,7601,0.016611608,0.004293284
1586818434,5193,7701,0.015068749,0.003894531
1586818501,5260,7801,0.014130127,0.003651943
1586818567,5326,7901,0.021104317,0.005454428
1586818641,5400,8001,0.021954432,0.00567414
