Wall time,Relative time (s),Step,Value,Norm value
1586840517,0,1,2.817281723,1
1586840592,75,101,2.580046654,0.915792919
1586840659,142,201,1.69376123,0.601204068
1586840725,208,301,1.39660573,0.495728106
1586840792,275,401,1.099369049,0.390223329
1586840859,342,501,0.849958599,0.301694571
1586840925,408,601,0.652873516,0.231738812
1586840992,475,701,0.564430773,0.200345875
1586841059,542,801,0.499178112,0.177184307
1586841125,608,901,0.358386517,0.12721004
1586841198,681,1001,0.317296535,0.112625063
1586841265,748,1101,0.249418005,0.088531441
1586841332,815,1201,0.26674065,0.094680148
1586841398,881,1301,0.218709275,0.077631313
1586841464,947,1401,0.195228443,0.06929674
1586841531,1014,1501,0.168459371,0.059795003
1586841598,1081,1601,0.130242229,0.04622975
1586841664,1147,1701,0.116134733,0.041222264
1586841731,1214,1801,0.105604716,0.037484615
1586841797,1280,1901,0.102255955,0.036295965
1586841870,1353,2001,0.100547887,0.035689682
1586841937,1420,2101,0.077719301,0.027586627
1586842004,1487,2201,0.063396275,0.022502641
1586842070,1553,2301,0.062810466,0.022294707
1586842137,1620,2401,0.059947491,0.021278486
1586842203,1686,2501,0.062135611,0.022055164
1586842270,1753,2601,0.050623301,0.017968846
1586842336,1819,2701,0.039129101,0.013888955
1586842403,1886,2801,0.054819345,0.019458242
1586842469,1952,2901,0.037368439,0.013264005
1586842545,2028,3001,0.03030034,0.010755169
1586842612,2095,3101,0.032558702,0.011556778
1586842679,2162,3201,0.03064079,0.010876012
1586842745,2228,3301,0.035001718,0.012423933
1586842812,2295,3401,0.043571174,0.015465677
1586842879,2362,3501,0.029070392,0.010318595
1586842947,2430,3601,0.026976783,0.009575464
1586843013,2496,3701,0.021720253,0.007709648
1586843080,2563,3801,0.030426722,0.010800027
1586843147,2630,3901,0.025949571,0.009210854
1586843221,2704,4001,0.033321481,0.011827529
1586843287,2770,4101,0.026304357,0.009336787
1586843354,2837,4201,0.032919664,0.011684902
1586843421,2904,4301,0.018223897,0.006468611
1586843487,2970,4401,0.012877496,0.004570895
1586843553,3036,4501,0.019360065,0.006871897
1586843620,3103,4601,0.015141618,0.005374549
1586843686,3169,4701,0.017071899,0.006059706
1586843753,3236,4801,0.011752727,0.004171656
1586843819,3302,4901,0.021268122,0.007549163
1586843896,3379,5001,0.019977812,0.007091165
1586843962,3445,5101,0.029725555,0.010551149
1586844029,3512,5201,0.020303518,0.007206777
1586844095,3578,5301,0.026155153,0.009283825
1586844162,3645,5401,0.013944091,0.004949484
1586844228,3711,5501,0.014932398,0.005300286
1586844295,3778,5601,0.017053625,0.006053218
1586844361,3844,5701,0.016325895,0.005794909
1586844428,3911,5801,0.016695442,0.005926081
1586844494,3977,5901,0.021709781,0.007705932
1586844570,4053,6001,0.013509676,0.004795289
1586844637,4120,6101,0.015751537,0.005591042
1586844703,4186,6201,0.019621225,0.006964596
1586844769,4252,6301,0.018138548,0.006438316
1586844836,4319,6401,0.016542688,0.005871862
1586844902,4385,6501,0.013617347,0.004833507
1586844969,4452,6601,0.009648207,0.003424652
1586845035,4518,6701,0.01814305,0.006439913
1586845102,4585,6801,0.017274955,0.006131783
1586845168,4651,6901,0.015776126,0.00559977
1586845242,4725,7001,0.022142209,0.007859423
1586845308,4791,7101,0.016810445,0.005966904
1586845375,4858,7201,0.015955253,0.005663349
1586845441,4924,7301,0.02712987,0.009629804
1586845508,4991,7401,0.016464019,0.005843938
1586845575,5058,7501,0.018138284,0.00643822
1586845641,5124,7601,0.014657428,0.005202685
1586845707,5190,7701,0.022179928,0.007872812
1586845774,5257,7801,0.016693704,0.005925464
1586845840,5323,7901,0.014561444,0.005168613
1586845914,5397,8001,0.013398075,0.004755676
1586845981,5464,8101,0.01809996,0.006424618
1586846047,5530,8201,0.012356211,0.004385862
1586846114,5597,8301,0.017891765,0.006350717
1586846180,5663,8401,0.012722386,0.004515839
1586846247,5730,8501,0.015198129,0.005394608
1586846313,5796,8601,0.020523116,0.007284724
1586846380,5863,8701,0.012383591,0.004395581
1586846446,5929,8801,0.007928839,0.002814358
1586846513,5996,8901,0.014232893,0.005051994
1586846588,6071,9001,0.008574583,0.003043565
1586846655,6138,9101,0.008007628,0.002842325
1586846721,6204,9201,0.01084768,0.003850407
1586846788,6271,9301,0.012108961,0.004298101
1586846854,6337,9401,0.011560852,0.004103548
1586846920,6403,9501,0.011203446,0.003976688
1586846987,6470,9601,0.014321215,0.005083347
1586847053,6536,9701,0.012395184,0.004399695
1586847120,6603,9801,0.020201981,0.007170735
1586847186,6669,9901,0.013540296,0.004806158
1586847262,6745,10001,0.018048935,0.006406505
1586847328,6811,10101,0.015586368,0.005532414
1586847395,6878,10201,0.017200552,0.006105371
1586847461,6944,10301,0.009385956,0.003331566
1586847528,7011,10401,0.011821005,0.004195892
1586847594,7077,10501,0.010558873,0.003747893
1586847661,7144,10601,0.022535201,0.007998916
1586847727,7210,10701,0.008231801,0.002921895
1586847795,7278,10801,0.02102619,0.00746329
1586847861,7344,10901,0.015313205,0.005435456
1586847935,7418,11001,0.013845598,0.004914524
