Wall time,Time,Step,Value
1603250731,0,1,2.74977684
1603250874,143.1624298,101,2.135320187
1603251194,282.1401498,201,1.353690267
1603251212,300.0984298,362,1.809896588
1603251215,303.20249,476,1.938143611
1603251218,306.35068,595,1.865878701
1603251221,309.6570498,714,1.657325268
1603251224,312.6855298,828,1.576879025
1603251228,315.8550898,948,1.809203863
1603251231,319.04608,1069,1.694518924
1603251234,322.1025399,1184,1.603722811
1603251237,325.2690998,1303,1.387767911
1603251240,328.3811098,1420,1.66250217
1603251243,331.4146198,1533,1.583085656
1603251246,334.4044198,1646,1.588471413
1603251249,337.37701,1758,1.447535753
1603251252,340.46495,1876,1.632849097
1603251255,343.5201899,1990,1.439586639
1603251258,346.5372399,2102,1.273355961
1603251269,356.9600898,2461,1.468121767
1603251272,360.1390299,2581,1.412643194
1603251275,363.1597399,2695,1.489418626
1603251278,366.1864799,2809,1.51141572
1603251281,369.1988598,2924,1.398930669
1603251284,372.1589099,3035,1.508024931
1603251287,375.3201698,3154,1.479330063
1603251545,389.9101499,3215,1.289813161
1603251687,532.23347,3315,1.154395819
1603251970,653.90505,3401,0.9185758829
1603251990,673.9439599,3517,1.074702024
1603251993,676.9906899,3634,1.745146751
1603251996,679.8331498,3753,1.258020878
1603251999,682.7021999,3872,1.206695318
1603252002,685.51303,3990,1.273287773
1603252005,688.3683499,4110,1.489306688
1603252007,691.20071,4226,1.362331867
1603252010,694.0087499,4346,1.192414522
1603252013,696.82624,4462,1.22834301
1603252016,699.62134,4581,1.187543035
1603252019,702.43968,4699,1.126106739
1603252021,705.1091699,4811,0.8986859322
1603252024,707.9226698,4927,0.9222033024
1603252027,710.7448899,5046,1.015571833
1603252030,713.5587999,5164,1.181963682
1603252033,716.35767,5282,1.105431557
1603252035,719.1767298,5400,1.156944156
1603252045,728.5916499,5750,1.059837699
1603252048,731.4365999,5870,0.9574318528
1603252051,734.23002,5988,0.918772161
1603252053,737.04146,6106,1.053765774
1603252056,739.83821,6225,1.084470391
1603252059,742.6823398,6343,1.061880827
1603252062,745.4897,6462,1.016202927
1603252065,748.2992598,6581,1.018947005
1603252067,751.1012599,6699,0.8936383128
1603252070,753.8895198,6817,1.066417813
1603252073,756.71738,6936,1.010340691
1603252076,759.47514,7049,1.181162
1603252078,762.1587099,7163,0.8602845669
1603252081,764.99354,7283,0.8681131601
1603252084,767.8350598,7401,0.8340947628
1603252091,774.66473,7658,0.8571560383
1603252094,777.4945699,7777,0.8341540694
1603252097,780.33852,7897,0.683976531
1603252099,783.2107998,8015,0.9407975674
1603252102,786.0568198,8134,0.704736352
1603252105,788.8933498,8253,0.8297036886
1603252108,791.70829,8372,0.8577077389
1603252111,794.5315498,8490,0.5831848979
1603252114,797.3216499,8609,0.773886919
1603252116,800.14612,8726,0.7755277157
1603252119,802.98704,8844,0.7651417255
1603252122,805.8099698,8963,0.640522182
1603252125,808.6284699,9083,0.8521981239
1603252128,811.4228698,9199,0.9853656292
1603252131,814.24288,9317,0.9983338714
1603252142,825.7972299,9757,0.594829917
1603252145,828.50728,9869,0.9799043536
1603252147,831.1386398,9981,0.7225306034
1603252150,834.0015198,10101,0.6328283548
1603252153,836.84698,10220,0.6103807688
1603252156,839.65911,10339,0.6245931387
1603252159,842.48056,10458,0.5158319473
1603252162,845.3105499,10576,0.6351733208
1603252164,847.96668,10688,0.4728808999
1603252167,850.75197,10806,0.7135409117
1603252170,853.61151,10926,0.5529167652
1603252173,856.40717,11044,0.5723147392
1603252175,859.2166599,11160,0.7198860645
1603252178,861.8429598,11272,0.5517821908
1603252181,864.6435198,11390,0.6629188061
1603252192,875.30518,11791,0.7181774378
1603252195,878.23845,11913,0.5552673936
1603252197,881.01375,12030,0.5002145171
1603252200,883.82958,12148,0.5742192864
1603252203,886.62222,12266,0.424631089
1603252206,889.42353,12382,0.558455646
1603252208,892.1870598,12500,0.441296041
1603252211,895.0121199,12618,0.534098208
1603252214,897.8375899,12737,0.6503256559
1603252217,900.6289498,12854,0.5356323719
1603252220,903.4323999,12971,0.4387851655
1603252223,906.2970599,13091,0.3791045249
1603252225,909.1462099,13210,0.5142225027
1603252228,911.9422399,13328,0.5115359426
1603252237,921.02411,13677,0.3548913896
1603252240,923.8056199,13794,0.6182371378
1603252243,926.5986599,13912,0.5125850439
1603252246,929.4156999,14030,0.4684275687
1603252249,932.25988,14151,0.4521535933
1603252251,935.0930699,14268,0.4619495273
1603252254,937.8535699,14386,0.5162070394
