Wall time,Step,Value
1603254419.434923,0,0.10010000318288803
1603254670.375683,200,0.32440000772476196
1603254808.739851,200,0.32440000772476196
1603254939.452719,2249,0.40470001101493835
1603255009.758034,3212,0.40059998631477356
1603255089.804903,3212,0.40059998631477356
1603255220.446504,3212,0.40059998631477356
1603255471.304915,3400,0.539900004863739
1603255564.675179,3400,0.539900004863739
1603255695.166404,5412,0.4018000066280365
1603255765.465465,7422,0.6223999857902527
1603255775.346657,9432,0.6139000058174133
1603255845.477881,11439,0.6848999857902527
1603255915.69628,13447,0.6866000294685364
1603255925.411245,15510,0.7670999765396118
1603255995.652325,17463,0.7918000221252441
1603256065.781524,19476,0.7577000260353088
1603256075.650738,21498,0.8447999954223633
1603256145.708333,23491,0.8296999931335449
1603256215.744924,27508,0.7760000228881836
1603256285.865315,29515,0.8862000107765198
1603256356.211224,31623,0.89410001039505
1603256366.408159,33564,0.8944000005722046
1603256436.492046,35544,0.8970000147819519
1603256506.626479,39566,0.8952000141143799
1603256577.009873,41593,0.8977000117301941
1603256647.434997,43641,0.8967000246047974
1603256657.476061,45660,0.8992999792098999
1603256727.85662,47618,0.897599995136261
1603256798.083287,49648,0.8985000252723694
1603256808.187834,51635,0.8984000086784363
1603256878.426718,53681,0.8982999920845032
1603256949.409207,57680,0.8996000289916992
1603257019.665317,59672,0.8980000019073486
1603257090.024607,61213,0.896399974822998
