Wall time,Step,Time,Value
1603340649.69,0,0.0,0.10000000149
1603340960.32,250,310.624036789,0.427700012922
1603341150.83,400,501.134299994,0.604600012302
1603341281.34,2449,631.643623829,0.598900020123
1603341351.64,4474,701.950206995,0.671599984169
1603341421.77,8510,772.073755026,0.788299977779
1603341492.12,10489,842.429020882,0.799300014973
1603341562.44,12474,912.747848988,0.782999992371
1603341572.44,14505,922.749394894,0.814199984074
1603341642.73,16529,993.036423922,0.863499999046
1603341713.08,20492,1063.38250589,0.846000015736
1603341783.43,22498,1133.73226714,0.872699975967
1603341853.63,26525,1203.9349649,0.820100009441
1603341924.09,28531,1274.39127398,0.868900001049
1603341994.31,30593,1344.61457801,0.911199986935
1603342004.43,32612,1354.74078608,0.909900009632
1603342074.87,34557,1425.17415094,0.912599980831
1603342145.04,36567,1495.34937286,0.911599993706
1603342155.04,38622,1505.34354401,0.911300003529
1603342225.46,40629,1575.76360011,0.91060000658
1603342295.61,44607,1645.92003179,0.911499977112
1603342365.94,46693,1716.24649501,0.913399994373
1603342436.44,48629,1786.74595594,0.913299977779
1603342446.71,50649,1797.01883984,0.914600014687
1603342517.16,52703,1867.46555805,0.913600027561
1603342587.43,54660,1937.7342639,0.913500010967
1603342597.6,56675,1947.91099501,0.913600027561
1603342668.15,58686,2018.45586801,0.91369998455
1603342738.66,61213,2088.96717906,0.913900017738
