Wall time,Relative time (s),Step,Value
1584978980,0,0,0.101899996
1584979475,495,2000,0.821799994
1584980031,1051,4000,0.861699998
1584980527,1547,6000,0.875400007
1584981022,2042,8000,0.88410002
1584981518,2538,10000,0.876900017
1584982074,3094,12000,0.882499993
1584982569,3589,14000,0.888800025
1584983065,4085,16000,0.882399976
1584983561,4581,18000,0.896700025
1584984057,5077,20000,0.89200002
1584984614,5634,22000,0.894900024
1584985110,6130,24000,0.897199988
1584985605,6625,26000,0.908100009
1584986101,7121,28000,0.908299983
1584986657,7677,30000,0.889299989
1584987153,8173,32000,0.898000002
1584987649,8669,34000,0.92809999
1584988145,9165,36000,0.926800013
1584988641,9661,38000,0.928600013
1584989192,10212,40000,0.928200006
