Wall time,Relative time (s),Step,Value
1584978950,0,1,3.655520201
1584978979,29,101,2.771858931
1584979004,54,201,1.891354918
1584979029,79,301,1.69801712
1584979055,105,401,1.542961001
1584979080,130,501,1.423576117
1584979105,155,601,1.286262989
1584979130,180,701,1.147037148
1584979155,205,801,0.917153895
1584979180,230,901,0.846197248
1584979205,255,1001,0.872805715
1584979230,280,1101,0.71349442
1584979255,305,1201,0.626479149
1584979280,330,1301,0.559765041
1584979305,355,1401,0.568769574
1584979330,380,1501,0.454062343
1584979355,405,1601,0.418922633
1584979380,430,1701,0.409218788
1584979405,455,1801,0.410102338
1584979430,480,1901,0.374419838
1584979463,513,2001,0.46007055
1584979488,538,2101,0.25093925
1584979513,563,2201,0.29044193
1584979538,588,2301,0.374955952
1584979564,614,2401,0.357361019
1584979589,639,2501,0.290139437
1584979614,664,2601,0.263713926
1584979639,689,2701,0.302657843
1584979664,714,2801,0.26583764
1584979689,739,2901,0.292393863
1584979714,764,3001,0.271868199
1584979739,789,3101,0.249438569
1584979764,814,3201,0.21302785
1584979789,839,3301,0.237828523
1584979814,864,3401,0.238040954
1584979839,889,3501,0.156136945
1584979864,914,3601,0.230065078
1584979889,939,3701,0.17240116
1584979914,964,3801,0.184637249
1584979939,989,3901,0.161783248
1584979973,1023,4001,0.112905264
1584979998,1048,4101,0.170898587
1584980023,1073,4201,0.150222957
1584980048,1098,4301,0.159005836
1584980073,1123,4401,0.123358756
1584980098,1148,4501,0.121035188
1584980123,1173,4601,0.144787461
1584980148,1198,4701,0.180536047
1584980173,1223,4801,0.151922107
1584980199,1249,4901,0.110178739
1584980224,1274,5001,0.118780814
1584980248,1298,5101,0.116884165
1584980273,1323,5201,0.137110591
1584980298,1348,5301,0.149750918
1584980323,1373,5401,0.094835073
1584980348,1398,5501,0.099413872
1584980373,1423,5601,0.06236697
1584980398,1448,5701,0.094839588
1584980423,1473,5801,0.063598365
1584980448,1498,5901,0.06622526
1584980480,1530,6001,0.074820861
1584980505,1555,6101,0.080609679
1584980530,1580,6201,0.073333457
1584980555,1605,6301,0.099505439
1584980580,1630,6401,0.084840745
1584980605,1655,6501,0.085135654
1584980630,1680,6601,0.085898474
1584980655,1705,6701,0.07167419
1584980680,1730,6801,0.078360587
1584980705,1755,6901,0.103902027
1584980730,1780,7001,0.081921518
1584980755,1805,7101,0.051154792
1584980780,1830,7201,0.071286976
1584980805,1855,7301,0.074420631
1584980830,1880,7401,0.075642481
1584980855,1905,7501,0.088984899
1584980880,1930,7601,0.057862967
1584980905,1955,7701,0.08725781
1584980930,1980,7801,0.041750591
1584980955,2005,7901,0.079182401
1584980990,2040,8001,0.04755941
1584981015,2065,8101,0.057312321
1584981040,2090,8201,0.053043395
1584981065,2115,8301,0.04526256
1584981090,2140,8401,0.060444426
1584981115,2165,8501,0.058586076
1584981140,2190,8601,0.068630293
1584981165,2215,8701,0.06489902
1584981190,2240,8801,0.075925916
1584981215,2265,8901,0.047897846
1584981240,2290,9001,0.077173874
1584981265,2315,9101,0.067828871
1584981290,2340,9201,0.063256197
1584981315,2365,9301,0.07097438
1584981340,2390,9401,0.068134069
1584981365,2415,9501,0.066330224
1584981390,2440,9601,0.0374077
1584981415,2465,9701,0.061878655
1584981439,2489,9801,0.073664188
1584981465,2515,9901,0.044157833
1584981497,2547,10001,0.07110779
1584981522,2572,10101,0.052511446
1584981547,2597,10201,0.051778875
1584981572,2622,10301,0.049901523
1584981597,2647,10401,0.023424529
1584981622,2672,10501,0.083940178
1584981647,2697,10601,0.070787042
1584981672,2722,10701,0.045873083
1584981697,2747,10801,0.036737263
1584981722,2772,10901,0.042728581
1584981747,2797,11001,0.033028994
1584981772,2822,11101,0.062714525
1584981797,2847,11201,0.042800415
1584981822,2872,11301,0.043274354
1584981847,2897,11401,0.049241506
1584981872,2922,11501,0.051470716
1584981897,2947,11601,0.058266111
1584981921,2971,11701,0.041287847
1584981947,2997,11801,0.04889065
1584981972,3022,11901,0.075732857
1584982004,3054,12001,0.049437083
1584982029,3079,12101,0.033608001
1584982054,3104,12201,0.045438364
1584982079,3129,12301,0.057554886
1584982105,3155,12401,0.051688772
1584982129,3179,12501,0.033508852
1584982154,3204,12601,0.029801596
1584982179,3229,12701,0.059598327
1584982204,3254,12801,0.058943197
1584982229,3279,12901,0.045144066
1584982254,3304,13001,0.038307041
1584982279,3329,13101,0.054256909
1584982304,3354,13201,0.050767951
1584982329,3379,13301,0.06546241
1584982354,3404,13401,0.070977561
1584982379,3429,13501,0.040431786
1584982404,3454,13601,0.038818613
1584982429,3479,13701,0.028783904
1584982454,3504,13801,0.039887175
1584982479,3529,13901,0.036201898
1584982512,3562,14001,0.050900616
1584982537,3587,14101,0.047923014
1584982562,3612,14201,0.028484741
1584982587,3637,14301,0.053986475
1584982612,3662,14401,0.032245934
1584982637,3687,14501,0.042931128
1584982661,3711,14601,0.036360867
1584982686,3736,14701,0.043102514
1584982711,3761,14801,0.045256402
1584982737,3787,14901,0.052205928
1584982761,3811,15001,0.041696649
