Wall time,Relative time (s),Step,Value
1585077688,0,1,3.180912018
1585077738,50,101,2.581117153
1585077774,86,201,1.956908822
1585077813,125,301,1.726037264
1585077848,160,401,1.549905419
1585077884,196,501,1.469623327
1585077920,232,601,1.236738443
1585077954,266,701,1.134295464
1585077989,301,801,0.972562253
1585078023,335,901,0.925413132
1585078061,373,1001,0.907834888
1585078095,407,1101,0.704481125
1585078131,443,1201,0.579914987
1585078167,479,1301,0.626880169
1585078202,514,1401,0.591655731
1585078238,550,1501,0.557969034
1585078273,585,1601,0.473101228
1585078309,621,1701,0.429416478
1585078346,658,1801,0.445989817
1585078380,692,1901,0.397492707
1585078433,745,2001,0.383163393
1585078469,781,2101,0.383109987
1585078504,816,2201,0.405643463
1585078539,851,2301,0.412076145
1585078577,889,2401,0.274516463
1585078616,928,2501,0.316945136
1585078652,964,2601,0.263408005
1585078685,997,2701,0.286636621
1585078719,1031,2801,0.261217117
1585078754,1066,2901,0.242584452
1585078789,1101,3001,0.253610998
1585078825,1137,3101,0.231744379
1585078862,1174,3201,0.268872023
1585078898,1210,3301,0.25135237
1585078931,1243,3401,0.161379635
1585078966,1278,3501,0.19899334
1585079002,1314,3601,0.201726988
1585079036,1348,3701,0.194292083
1585079070,1382,3801,0.128635734
1585079105,1417,3901,0.18530935
1585079159,1471,4001,0.209234908
1585079195,1507,4101,0.183716133
1585079229,1541,4201,0.152407795
1585079265,1577,4301,0.13605243
1585079302,1614,4401,0.196411029
1585079340,1652,4501,0.195259392
1585079377,1689,4601,0.135181472
1585079412,1724,4701,0.129649997
1585079448,1760,4801,0.115229592
1585079485,1797,4901,0.100191034
1585079520,1832,5001,0.137864202
1585079555,1867,5101,0.152169809
1585079589,1901,5201,0.080440447
1585079624,1936,5301,0.094412386
1585079660,1972,5401,0.101345547
1585079697,2009,5501,0.126120552
1585079731,2043,5601,0.101697564
1585079765,2077,5701,0.092354923
1585079801,2113,5801,0.106288612
1585079835,2147,5901,0.07782051
1585079887,2199,6001,0.142377779
1585079923,2235,6101,0.095437042
1585079957,2269,6201,0.147876263
1585079992,2304,6301,0.106503211
1585080027,2339,6401,0.06852252
1585080061,2373,6501,0.076497644
1585080096,2408,6601,0.084710449
1585080132,2444,6701,0.097600639
1585080168,2480,6801,0.085849985
1585080203,2515,6901,0.059615389
1585080238,2550,7001,0.092825934
1585080273,2585,7101,0.080650009
1585080307,2619,7201,0.095909715
1585080342,2654,7301,0.04440935
1585080377,2689,7401,0.057706222
1585080412,2724,7501,0.099862516
1585080447,2759,7601,0.090214014
1585080484,2796,7701,0.082258627
1585080520,2832,7801,0.057720058
1585080554,2866,7901,0.064685851
1585080607,2919,8001,0.084492065
1585080642,2954,8101,0.087721825
1585080676,2988,8201,0.112446472
1585080711,3023,8301,0.07113494
1585080745,3057,8401,0.041689258
1585080779,3091,8501,0.079867825
1585080813,3125,8601,0.058332309
1585080850,3162,8701,0.046293426
1585080885,3197,8801,0.053565565
1585080920,3232,8901,0.07910572
1585080958,3270,9001,0.070269644
1585080992,3304,9101,0.048681088
1585081026,3338,9201,0.047936685
1585081059,3371,9301,0.036064796
1585081096,3408,9401,0.04834383
1585081131,3443,9501,0.076737516
1585081167,3479,9601,0.105022624
1585081203,3515,9701,0.062378239
1585081238,3550,9801,0.084760547
1585081275,3587,9901,0.055634715
1585081328,3640,10001,0.049091324
1585081362,3674,10101,0.042000953
1585081398,3710,10201,0.07898137
1585081433,3745,10301,0.061535493
1585081468,3780,10401,0.05614242
1585081503,3815,10501,0.079358697
1585081538,3850,10601,0.061575845
1585081573,3885,10701,0.039465364
1585081607,3919,10801,0.039678551
1585081641,3953,10901,0.06197758
1585081676,3988,11001,0.075692669
1585081711,4023,11101,0.071314938
1585081746,4058,11201,0.062209599
1585081781,4093,11301,0.07630147
1585081814,4126,11401,0.064218342
1585081849,4161,11501,0.087566167
1585081884,4196,11601,0.058366146
1585081918,4230,11701,0.065200686
1585081952,4264,11801,0.056981556
1585081986,4298,11901,0.095340773
1585082041,4353,12001,0.033591345
1585082074,4386,12101,0.053196192
1585082108,4420,12201,0.043258626
1585082143,4455,12301,0.061584536
1585082178,4490,12401,0.049221933
1585082213,4525,12501,0.039422248
1585082249,4561,12601,0.056178197
1585082283,4595,12701,0.080134287
1585082319,4631,12801,0.06864278
1585082354,4666,12901,0.060363732
1585082390,4702,13001,0.065618031
1585082427,4739,13101,0.064466849
1585082462,4774,13201,0.062365986
1585082499,4811,13301,0.078410104
1585082536,4848,13401,0.068495817
1585082573,4885,13501,0.053352654
1585082608,4920,13601,0.038426928
1585082643,4955,13701,0.03044343
1585082678,4990,13801,0.077374838
1585082713,5025,13901,0.027002905
1585082765,5077,14001,0.081504144
1585082801,5113,14101,0.053943336
1585082839,5151,14201,0.036571261
1585082873,5185,14301,0.072370186
1585082907,5219,14401,0.030608898
1585082942,5254,14501,0.019847009
1585082977,5289,14601,0.040990122
1585083013,5325,14701,0.03376475
1585083050,5362,14801,0.073629156
1585083085,5397,14901,0.026158046
1585083119,5431,15001,0.038854677
1585083153,5465,15101,0.029777385
1585083188,5500,15201,0.067153811
1585083223,5535,15301,0.033528969
1585083256,5568,15401,0.044040091
1585083291,5603,15501,0.052525904
1585083328,5640,15601,0.051560432
1585083364,5676,15701,0.068968028
1585083399,5711,15801,0.05823876
1585083433,5745,15901,0.027964719
1585083485,5797,16001,0.046774812
1585083521,5833,16101,0.06108788
1585083556,5868,16201,0.039373256
1585083590,5902,16301,0.019609395
1585083626,5938,16401,0.077471308
1585083660,5972,16501,0.028858559
1585083695,6007,16601,0.023074139
1585083730,6042,16701,0.070855647
1585083766,6078,16801,0.056568481
1585083800,6112,16901,0.044157904
1585083834,6146,17001,0.037990265
1585083869,6181,17101,0.043423757
1585083904,6216,17201,0.034221672
1585083938,6250,17301,0.018103078
1585083976,6288,17401,0.030729346
1585084011,6323,17501,0.041818146
1585084046,6358,17601,0.067290828
1585084081,6393,17701,0.048517827
1585084115,6427,17801,0.07748685
1585084149,6461,17901,0.041505903
1585084205,6517,18001,0.010990369
1585084239,6551,18101,0.030249957
1585084273,6585,18201,0.060037572
1585084308,6620,18301,0.050820421
1585084344,6656,18401,0.061729345
1585084378,6690,18501,0.039964929
1585084414,6726,18601,0.049437627
1585084448,6760,18701,0.068547234
1585084482,6794,18801,0.053345002
1585084516,6828,18901,0.056445338
1585084550,6862,19001,0.030143509
1585084585,6897,19101,0.059350967
1585084620,6932,19201,0.053596888
1585084654,6966,19301,0.047013208
1585084688,7000,19401,0.045329213
1585084722,7034,19501,0.04043049
1585084757,7069,19601,0.034784511
1585084791,7103,19701,0.0527521
1585084826,7138,19801,0.048737478
